scientific_name,park_name,observations,category,common_names,conservation_status
Stellaria media,Yellowstone National Park,228,Vascular Plant,"Chickweed, Common Chickweed, Nodding Chickweed",Não Avaliado
Sisyrinchium mucronatum,Great Smoky Mountains National Park,52,Vascular Plant,"Blue-Eyed Grass, Michaux Blue-Eyed-Grass",Não Avaliado
Malus pumila,Yosemite National Park,153,Vascular Plant,"Apple, Common Apple",Não Avaliado
Malus pumila,Yosemite National Park,153,Vascular Plant,Paradise Apple,Não Avaliado
Rumex acetosella,Yosemite National Park,175,Vascular Plant,"Sheep Sorrel, Sheep Sorrell",Não Avaliado
Rumex acetosella,Yosemite National Park,175,Vascular Plant,"Common Sheep Sorrel, Field Sorrel, Red Sorrel, Sheep Sorrel",Não Avaliado
Chamaecrista fasciculata,Bryce National Park,85,Vascular Plant,"Partridge-Pea, Prairie Senna",Não Avaliado
Megascops asio,Yellowstone National Park,248,Bird,"Eastern Screech Owl, Eastern Screech-Owl",Não Avaliado
Megascops asio,Yellowstone National Park,248,Bird,Eastern Screech-Owl,Não Avaliado
Sphyrapicus varius,Yosemite National Park,159,Bird,Yellow-Bellied Sapsucker,Species of Concern
Hordeum brachyantherum,Great Smoky Mountains National Park,63,Vascular Plant,Meadow Barley,Não Avaliado
Smilax tamnoides,Great Smoky Mountains National Park,78,Vascular Plant,"Bristly Greenbrier, Hispid Greenbrier",Não Avaliado
Holocarpha virgata ssp. virgata,Great Smoky Mountains National Park,76,Vascular Plant,Yellowflower Tarweed,Não Avaliado
Lysimachia ciliata,Great Smoky Mountains National Park,66,Vascular Plant,"Ciliate Loosestrife, Fringed Loosestrife",Não Avaliado
Lotus humistratus,Yosemite National Park,180,Vascular Plant,"Foothill Deervetch, Maresfat",Não Avaliado
Rhus aromatica,Yellowstone National Park,272,Vascular Plant,Fragrant Sumac,Não Avaliado
Athysanus pusillus,Yosemite National Park,151,Vascular Plant,"Common Sandweed, Dwarf Anthysanus",Não Avaliado
Wyethia mollis,Great Smoky Mountains National Park,85,Vascular Plant,"Woolly Mule-Ears, Wooly Wyethia",Não Avaliado
Sorbus americana,Yellowstone National Park,264,Vascular Plant,American Mountain-Ash,Não Avaliado
Vitis aestivalis var. bicolor,Bryce National Park,136,Vascular Plant,Summer Grape,Não Avaliado
Antennaria pulcherrima,Yosemite National Park,161,Vascular Plant,Showy Pussytoes,Não Avaliado
Plagiobothrys myosotoides,Great Smoky Mountains National Park,116,Vascular Plant,Forget-Me-Not Popcornflower,Não Avaliado
Conyza canadensis,Great Smoky Mountains National Park,52,Vascular Plant,Horse-Weed,Não Avaliado
Conyza canadensis,Great Smoky Mountains National Park,52,Vascular Plant,"Canada Horseweed, Canadian Horseweed, Horseweed, Horseweed Fleabane, Mares Tail, Marestail",Não Avaliado
Sorex monticolus,Yosemite National Park,124,Mammal,Dusky Shrew,Não Avaliado
Sorex monticolus,Yosemite National Park,124,Mammal,Montane Shrew,Não Avaliado
Dulichium arundinaceum,Bryce National Park,110,Vascular Plant,Three-Way Sedge,Não Avaliado
Dulichium arundinaceum,Bryce National Park,110,Vascular Plant,Threeway Sedge,Não Avaliado
Carex nigricans,Yosemite National Park,165,Vascular Plant,Black Alpine Sedge,Não Avaliado
Carex amplectens,Yosemite National Park,147,Vascular Plant,Claspbract Sedge,Não Avaliado
Oncorhynchus mykiss,Bryce National Park,105,Fish,Rainbow Trout,Não Avaliado
Oncorhynchus mykiss,Bryce National Park,105,Fish,Rainbow Trout,Threatened
Matelea obliqua,Great Smoky Mountains National Park,91,Vascular Plant,Climbing Milkvine,Não Avaliado
Mus musculus,Yellowstone National Park,262,Mammal,House Mouse,Não Avaliado
Iris verna var. smalliana,Bryce National Park,114,Vascular Plant,Dwarf Violet Iris,Não Avaliado
Phenacomys intermedius,Yosemite National Park,167,Mammal,"Heather Vole, Western Heather Vole",Não Avaliado
Eriogonum hirtiflorum,Yellowstone National Park,239,Vascular Plant,Hairyflower Buckwheat,Não Avaliado
Astragalus purshii var. lectulus,Yellowstone National Park,238,Vascular Plant,"Sierran Milkvetch, Woollypod Milkvetch",Não Avaliado
Aralia nudicaulis,Yellowstone National Park,286,Vascular Plant,Wild Sarsaparilla,Não Avaliado
Coreopsis pubescens,Yellowstone National Park,272,Vascular Plant,"Hairy Tickseed, Star Tickseed",Não Avaliado
Astragalus inflexus,Bryce National Park,116,Vascular Plant,Bent Milkvetch,Não Avaliado
Osmorhiza occidentalis,Bryce National Park,117,Vascular Plant,"Sweetanise, Western Sweetroot",Não Avaliado
Rana sierrae,Yellowstone National Park,60,Amphibian,Sierra Nevada Yellow-Legged Frog,Endangered
Etheostoma chlorobranchium,Yosemite National Park,162,Fish,Greenfin Darter,Não Avaliado
Sagittaria cuneata,Bryce National Park,113,Vascular Plant,"Arumleaf Arrowhead, Arum-Leaf Arrowhead, Nothern Arrowhead, Wapato",Não Avaliado
Panax trifolius,Bryce National Park,50,Vascular Plant,Dwarf Ginseng,Não Avaliado
Lithospermum incisum,Yellowstone National Park,260,Vascular Plant,"Fringed Gromwell, Fringed Puccoon, Narrowleaf Gromwell, Narrowleaf Pucoon, Narrowleaf Stoneseed, Trumpet Stoneseed",Não Avaliado
Clinostomus sp. 1,Yellowstone National Park,280,Fish,Smoky Dace,Não Avaliado
Arabis lemmonii var. lemmonii,Yosemite National Park,141,Vascular Plant,Lemmon's Rockcress,Não Avaliado
Rudbeckia fulgida,Bryce National Park,89,Vascular Plant,Orange Coneflower,Não Avaliado
Myriophyllum verticillatum,Yellowstone National Park,222,Vascular Plant,"Whorled Water-Milfoil, Whorlleaf Watermilfoil, Whorl-Leaf Watermilfoil",Não Avaliado
Castilleja crista-galli,Yosemite National Park,169,Vascular Plant,Mountainside Indian Paintbrush,Não Avaliado
Hypoxis hirsuta,Yosemite National Park,137,Vascular Plant,"Eastern Yellow Star Grass, Yellow Star Grass",Não Avaliado
Cryptantha echinella,Bryce National Park,89,Vascular Plant,"Hedgehog Cryptantha, Prickly Cryptantha",Não Avaliado
Rhytidiadelphus triquetrus,Great Smoky Mountains National Park,70,Nonvascular Plant,Rough Goose Neck Moss,Não Avaliado
Eriogonum ovalifolium var. purpureum,Great Smoky Mountains National Park,82,Vascular Plant,Cushion Buckwheat,Não Avaliado
Potentilla grayi,Yosemite National Park,173,Vascular Plant,Gray's Cinquefoil,Não Avaliado
Ceanothus velutinus var. velutinus,Great Smoky Mountains National Park,67,Vascular Plant,Snowbrush Ceanothus,Não Avaliado
Phacelia eisenii,Yellowstone National Park,233,Vascular Plant,Eisen's Phacelia,Não Avaliado
Carex albicans var. emmonsii,Yosemite National Park,139,Vascular Plant,"Emmons Sedge, Sedge",Não Avaliado
Juncus scirpoides,Great Smoky Mountains National Park,119,Vascular Plant,"Rush, Scirpus-Like Rush",Não Avaliado
Kalmia polifolia,Yellowstone National Park,234,Vascular Plant,"Bog Kalmia, Bog Laurel, Box Laurel, Swamp Laurel",Não Avaliado
Carex gynandra,Yosemite National Park,162,Vascular Plant,"A Sedge, Drooping Sedge",Não Avaliado
Agalinis tenuifolia,Yellowstone National Park,257,Vascular Plant,"Slender False-Foxglove, Slender Gerardia",Não Avaliado
Lewisia kelloggii,Great Smoky Mountains National Park,76,Vascular Plant,Kellogg's Lewisia,Não Avaliado
Draperia systyla,Bryce National Park,79,Vascular Plant,Violet Draperia,Não Avaliado
Rosa palustris,Yellowstone National Park,251,Vascular Plant,Swamp Rose,Não Avaliado
Dryopteris expansa,Great Smoky Mountains National Park,48,Vascular Plant,Spreading Woodfern,Não Avaliado
Thamnophis elegans elegans,Great Smoky Mountains National Park,61,Reptile,Mountain (Terrestrial) Garter Snake,Não Avaliado
Carduus acanthoides,Bryce National Park,78,Vascular Plant,Spiny Plumeless Thistle,Não Avaliado
Carduus acanthoides,Bryce National Park,78,Vascular Plant,"Plumeless Thistle, Spiny Plumeless Thistle, Spiny Plumeless-Thistle",Não Avaliado
Verbena hastata,Bryce National Park,79,Vascular Plant,"Blue Verbena, Blue Vervain, Simpler's-Joy, Swamp Verbena",Não Avaliado
Notropis baileyi,Bryce National Park,129,Fish,Rough Shiner,Não Avaliado
Grindelia camporum var. camporum,Bryce National Park,97,Vascular Plant,Great Valley Gumweed,Não Avaliado
Leucothoe davisiae,Great Smoky Mountains National Park,93,Vascular Plant,Sierra Laurel,Não Avaliado
Sceloporus undulatus hyacinthinus,Great Smoky Mountains National Park,18,Reptile,Northern Fence Lizard,Não Avaliado
Torilis arvensis,Yellowstone National Park,240,Vascular Plant,Spreading Hedgeparsley,Não Avaliado
Eriogonum caespitosum,Yosemite National Park,161,Vascular Plant,"Mat Buckwheat, Mat Eriogonum, Matted Buckwheat, Matted Wild Buckwheat",Não Avaliado
Carpodacus cassinii,Yosemite National Park,138,Bird,Cassin's Finch,Não Avaliado
Senecio lugens,Yosemite National Park,114,Vascular Plant,Small Blacktip Ragwort,Não Avaliado
Myosotis verna,Yosemite National Park,169,Vascular Plant,"Early Forget-Me-Not, Spring Forget-Me-Not",Não Avaliado
Sphyrapicus ruber,Bryce National Park,118,Bird,Red-Breasted Sapsucker,Não Avaliado
Hydroprogne caspia,Yosemite National Park,116,Bird,Caspian Tern,Não Avaliado
Mahonia bealei,Great Smoky Mountains National Park,99,Vascular Plant,Chinese Mahonia,Não Avaliado
Poa pratensis,Yellowstone National Park,265,Vascular Plant,"Junegrass, Kentucky Bluegrass",Não Avaliado
Poa pratensis,Yellowstone National Park,265,Vascular Plant,Kentucky Bluegrass,Não Avaliado
Uvularia sessilifolia,Yellowstone National Park,287,Vascular Plant,"Sessile-Leaf Bellwort, Wild Oats",Não Avaliado
Lupinus formosus var. formosus,Yellowstone National Park,258,Vascular Plant,Summer Lupine,Não Avaliado
Gavia stellata,Bryce National Park,100,Bird,"Red-Throated Diver, Red-Throated Loon",Não Avaliado
Liparis liliifolia,Great Smoky Mountains National Park,49,Vascular Plant,"Large Twayblade, Lily-Leaved Twayblade",Não Avaliado
Charadrius nivosus,Bryce National Park,58,Bird,Snowy Plover,Não Avaliado
Galium triflorum,Yosemite National Park,149,Vascular Plant,Fragrant Bedstraw,Não Avaliado
Galium triflorum,Yosemite National Park,149,Vascular Plant,"Fragrant Bedstraw, Sweet Bedstraw, Sweetscented Bedstraw",Não Avaliado
Cosmos sulphureus,Bryce National Park,109,Vascular Plant,Sulphur Cosmos,Não Avaliado
Tamias merriami,Great Smoky Mountains National Park,72,Mammal,Merriam's Chipmunk,Não Avaliado
Bidens frondosa,Great Smoky Mountains National Park,70,Vascular Plant,"Begger Ticks, Devil's Beggar-Ticks",Não Avaliado
Penstemon speciosus,Yellowstone National Park,253,Vascular Plant,"Prairie-Clover, Royal Penstemon",Não Avaliado
Symphyotrichum retroflexum,Great Smoky Mountains National Park,76,Vascular Plant,Rigid Whitetop Aster,Não Avaliado
Ochotona princeps,Yellowstone National Park,227,Mammal,"American Pika, Pika",Não Avaliado
Ochotona princeps,Yellowstone National Park,227,Mammal,Pika,Não Avaliado
Collinsia tinctoria,Yosemite National Park,149,Vascular Plant,Sticky Chinese Houses,Não Avaliado
Xyris torta,Great Smoky Mountains National Park,70,Vascular Plant,"Twisted Yellow-Eyed-Grass, Yellow-Eyed Grass",Não Avaliado
Carex jamesii,Yosemite National Park,158,Vascular Plant,"James? Sedge, Nebraska Sedge",Não Avaliado
Artemisia scopulorum,Great Smoky Mountains National Park,92,Vascular Plant,"Alpine Sagebrush, Dwarf Sagebrush",Não Avaliado
Gayophytum ramosissimum,Yosemite National Park,160,Vascular Plant,"Muchbranched Groundsmoke, Pinyon Groundsmoke",Não Avaliado
Sitta carolinensis,Yosemite National Park,146,Bird,White-Breasted Nuthatch,Não Avaliado
Arenaria serpyllifolia,Yosemite National Park,140,Vascular Plant,"Thyme-Leaf Sandwort, Thyme-Leaved Sandwort",Não Avaliado
Arenaria serpyllifolia,Yosemite National Park,140,Vascular Plant,Thymeleaf Sandwort,Não Avaliado
Cyrto-hypnum minutulum,Great Smoky Mountains National Park,99,Nonvascular Plant,Cyrto-Hypnum Moss,Não Avaliado
Poa cusickii,Bryce National Park,83,Vascular Plant,Cusick's Bluegrass,Não Avaliado
Polygonum cilinode,Bryce National Park,116,Vascular Plant,"Fringed Black Bindweed, Fringed Climbing Buckwheat",Não Avaliado
Juniperus chinensis,Great Smoky Mountains National Park,48,Vascular Plant,Chinese Juniper,Não Avaliado
Artemisia absinthium,Great Smoky Mountains National Park,94,Vascular Plant,"Absinth Sagewort, Absinth Wormwood, Absinthium, Common Sagewort",Não Avaliado
Dichanthelium clandestinum,Bryce National Park,75,Vascular Plant,"Deer-Tongue Witchgrass, Panic Grass",Não Avaliado
Sparganium americanum,Yellowstone National Park,252,Vascular Plant,"American Bur-Reed, Bur-Reed",Não Avaliado
Poa pringlei,Yellowstone National Park,222,Vascular Plant,Pringle's Bluegrass,Não Avaliado
Saxifraga virginiensis var. virginiensis,Yosemite National Park,126,Vascular Plant,Early Saxifrage,Não Avaliado
Rudbeckia fulgida var. fulgida,Bryce National Park,95,Vascular Plant,Orange Coneflower,Não Avaliado
Grindelia nana,Great Smoky Mountains National Park,109,Vascular Plant,Idaho Gumweed,Não Avaliado
Calamagrostis coarctata,Yellowstone National Park,250,Vascular Plant,Arctic Reedgrass,Não Avaliado
Robinia hispida var. rosea,Bryce National Park,86,Vascular Plant,Boynton's Locust,Não Avaliado
Stizostedion vitreum,Yosemite National Park,152,Fish,Walleye,Não Avaliado
Potamogeton friesii,Great Smoky Mountains National Park,67,Vascular Plant,"Flat-Stalk Pondweed, Fries' Pondweed",Não Avaliado
Stachys clingmanii,Yosemite National Park,148,Vascular Plant,"Clingman Hedge-Nettle, Clingman's Hedge-Nettle",Não Avaliado
Piranga ludoviciana,Bryce National Park,99,Bird,Western Tanager,Não Avaliado
Coreopsis lanceolata,Bryce National Park,115,Vascular Plant,Lanceleaf Tickseed,Não Avaliado
Coreopsis lanceolata,Bryce National Park,115,Vascular Plant,Garden Coreopsis,Não Avaliado
Gratiola ebracteata,Great Smoky Mountains National Park,113,Vascular Plant,Bractless Hedgehyssop,Não Avaliado
Astragalus inflexus,Great Smoky Mountains National Park,83,Vascular Plant,Bent Milkvetch,Não Avaliado
Populus tremuloides,Yellowstone National Park,269,Vascular Plant,Quaking Aspen,Não Avaliado
Clinostomus sp. 1,Yosemite National Park,180,Fish,Smoky Dace,Não Avaliado
Helianthus divaricatus,Yosemite National Park,155,Vascular Plant,"Woodland Sunflower, Sessile-Leaved Sunflower",Não Avaliado
Androsace filiformis,Great Smoky Mountains National Park,87,Vascular Plant,"Filiform Rockjasmine, Slender Rockjasmine, Slender-Stemmed Androsace",Não Avaliado
Bromus secalinus,Great Smoky Mountains National Park,62,Vascular Plant,"Cheat Grass, Rye Brome",Não Avaliado
Bromus secalinus,Great Smoky Mountains National Park,62,Vascular Plant,"Bromegrass, Cheat, Chess, Chess Brome, Rye Brome, Ryebrome",Não Avaliado
Physostegia virginiana ssp. virginiana,Yosemite National Park,137,Vascular Plant,Obedient Plant,Não Avaliado
Melica bulbosa,Yellowstone National Park,266,Vascular Plant,"Bulbous Oniongrass, Oniongrass",Não Avaliado
Ceanothus cordulatus,Bryce National Park,121,Vascular Plant,Whitethorn Ceanothus,Não Avaliado
Lupinus sericeus,Yellowstone National Park,244,Vascular Plant,"Pursh's Silky Lupine, Silky Lupine",Não Avaliado
Epilobium canum ssp. garrettii,Yellowstone National Park,292,Vascular Plant,Garrett's Firechalice,Não Avaliado
Verbascum thapsus,Yosemite National Park,172,Vascular Plant,"Common Mullein, Great Mullein",Não Avaliado
Verbascum thapsus,Yosemite National Park,172,Vascular Plant,"Big Taper, Common Mullein, Flannel Mullein, Flannel Plant, Great Mullein, Mullein, Velvet Dock, Velvet Plant, Woolly Mullein",Não Avaliado
Cirsium altissimum,Yosemite National Park,151,Vascular Plant,Tall Thistle,Não Avaliado
Mitella pentandra,Great Smoky Mountains National Park,69,Vascular Plant,Fivestamen Miterwort,Não Avaliado
Cercis canadensis,Bryce National Park,112,Vascular Plant,"Eastern Redbud, Redbud",Não Avaliado
Lepidium ramosissimum,Great Smoky Mountains National Park,86,Vascular Plant,"Manybranched Pepperweed, Pepperweed",Não Avaliado
Allium brandegeei,Great Smoky Mountains National Park,62,Vascular Plant,Brandegee's Onion,Não Avaliado
Carex heteroneura var. heteroneura,Great Smoky Mountains National Park,62,Vascular Plant,"Different Nerve Sedge, Different-Nerve Sedge",Não Avaliado
Sisyrinchium bellum,Yosemite National Park,212,Vascular Plant,Western Blue-Eyed Grass,Não Avaliado
Echinochloa muricata var. muricata,Yellowstone National Park,268,Vascular Plant,Barnyard Grass,Não Avaliado
Agoseris retrorsa,Yellowstone National Park,280,Vascular Plant,Spearleaf Agoseris,Não Avaliado
Carex stricta,Yellowstone National Park,281,Vascular Plant,Uptight Sedge,Não Avaliado
Dichanthelium linearifolium,Yosemite National Park,147,Vascular Plant,Panic Grass,Não Avaliado
Lupinus arbustus,Yosemite National Park,166,Vascular Plant,"Longspur Lupine, Spurred Lupine",Não Avaliado
Trichomanes petersii,Yosemite National Park,110,Vascular Plant,"Dwarf Filmy Fern, Dwarf Filmy-Fern",Não Avaliado
Limnanthes montana,Great Smoky Mountains National Park,106,Vascular Plant,Mountain Meadowfoam,Não Avaliado
Hedeoma pulegioides,Bryce National Park,53,Vascular Plant,American Pennyroyal,Não Avaliado
Synandra hispidula,Bryce National Park,96,Vascular Plant,"Gyandotte Beauty, Synandra",Não Avaliado
Alcea rosea,Bryce National Park,108,Vascular Plant,Hollyhock,Não Avaliado
Sceloporus graciosus,Yellowstone National Park,232,Reptile,Sagebrush Lizard,Não Avaliado
Senecio fremontii var. occidentalis,Yosemite National Park,157,Vascular Plant,"Dwarf Mountain Ragwort, Western Groundsel",Não Avaliado
Tortula amphidiacea,Yosemite National Park,167,Nonvascular Plant,Tortula Moss,Não Avaliado
Poa glauca ssp. rupicola,Great Smoky Mountains National Park,73,Vascular Plant,Timberline Bluegrass,Não Avaliado
Rubus trux,Yosemite National Park,135,Vascular Plant,"A Bramble, Truculent Blackberry",Não Avaliado
Parietaria pensylvanica,Yellowstone National Park,232,Vascular Plant,"Pellitory, Pennsylvania Pellitory",Não Avaliado
Parietaria pensylvanica,Yellowstone National Park,232,Vascular Plant,Pennsylvania Pellitory,Não Avaliado
Myriophyllum sibiricum,Yellowstone National Park,296,Vascular Plant,"American Watermilfoil, Shortspike Watermilfoil, Siberian Water-Milfoil",Não Avaliado
Gratiola floridana,Bryce National Park,110,Vascular Plant,Florida Hedgehyssop,Não Avaliado
Trientalis borealis,Yosemite National Park,131,Vascular Plant,Star-Flower,Não Avaliado
Cerastium fontanum ssp. vulgare,Bryce National Park,133,Vascular Plant,Common Mouse-Ear Chickweed,Não Avaliado
Cerastium fontanum ssp. vulgare,Bryce National Park,133,Vascular Plant,"Big Chickweed, Common Mouse-Ear Chickweed",Não Avaliado
Tsuga canadensis,Bryce National Park,86,Vascular Plant,Eastern Hemlock,Não Avaliado
Botrychium lanceolatum,Yosemite National Park,119,Vascular Plant,"Lanceleaf Grapefern, Lance-Leaf Moonwort, Triangle Moonwort",Não Avaliado
Lilium parvum,Great Smoky Mountains National Park,89,Vascular Plant,"Sierra Tiger Lily, Sierra Tigerlily",Não Avaliado
Sorex palustris,Yosemite National Park,147,Mammal,Water Shrew,Não Avaliado
Sorex palustris,Yosemite National Park,147,Mammal,"American Water Shrew, Northern Water Shrew, Water Shrew",Não Avaliado
Myotis ciliolabrum,Great Smoky Mountains National Park,88,Mammal,"Small-Footed Myotis, Western Small-Footed Bat, Western Small-Footed Myotis",Não Avaliado
Myotis ciliolabrum,Great Smoky Mountains National Park,88,Mammal,Small-Footed Myotis,Não Avaliado
Carex normalis,Yosemite National Park,153,Vascular Plant,"A Sedge, Sedge",Não Avaliado
Anthemis cotula,Bryce National Park,84,Vascular Plant,"Mayweed, Stinking Chamomile",Não Avaliado
Anthemis cotula,Bryce National Park,84,Vascular Plant,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed",Não Avaliado
Catostomus platyrhynchus,Bryce National Park,91,Fish,Mountain Sucker,Não Avaliado
Viola X primulifolia,Yellowstone National Park,234,Vascular Plant,Primrose-Leaved Violet,Não Avaliado
Erechtites hieraciifolia var. hieraciifolia,Great Smoky Mountains National Park,69,Vascular Plant,American Burnweed,Não Avaliado
Viola arvensis,Bryce National Park,121,Vascular Plant,Field Pansy,Não Avaliado
Viola arvensis,Bryce National Park,121,Vascular Plant,"European Field Pansy, Field Violet, Wild Pansy",Não Avaliado
Phalacrocorax auritus,Bryce National Park,61,Bird,Double-Crested Cormorant,Species of Concern
Alnus rhombifolia,Great Smoky Mountains National Park,63,Vascular Plant,"Rhombie Leaf Alder, White Alder",Não Avaliado
Ligusticum grayi,Great Smoky Mountains National Park,98,Vascular Plant,"Gray's Licoriceroot, Gray's Licorice-Root",Não Avaliado
Agkistrodon contortrix mokasen,Yellowstone National Park,212,Reptile,Northern Copperhead,Não Avaliado
Polygonum orientale,Great Smoky Mountains National Park,59,Vascular Plant,"Kiss-Me-Over-The-Garden-Gate, Prince's Feather",Não Avaliado
Veronica biloba,Yellowstone National Park,252,Vascular Plant,"Bilobed Speedwell, Twolobe Speedwell, Twolobed Speedwell",Não Avaliado
Coreopsis pubescens,Great Smoky Mountains National Park,51,Vascular Plant,"Hairy Tickseed, Star Tickseed",Não Avaliado
Lophodytes cucullatus,Yosemite National Park,165,Bird,Hooded Merganser,Não Avaliado
Carex debilis,Great Smoky Mountains National Park,76,Vascular Plant,"White Edge Sedge, White-Edge Sedge",Não Avaliado
Melanerpes formicivorus,Bryce National Park,100,Bird,Acorn Woodpecker,Não Avaliado
Carex louisianica,Yellowstone National Park,265,Vascular Plant,Louisiana Sedge,Não Avaliado
Portulaca oleracea,Yosemite National Park,130,Vascular Plant,Common Purslane,Não Avaliado
Portulaca oleracea,Yosemite National Park,130,Vascular Plant,"Akulikuli-Kula, Common Purslane, Duckweed, Garden Purslane, Little Hogweed, Little-Hogweed, Purslane, Pursley, Wild Portulaca",Não Avaliado
Lepus townsendii townsendii,Bryce National Park,60,Mammal,Western White-Tailed Jackrabbit,Não Avaliado
Andropogon gyrans var. gyrans,Yellowstone National Park,245,Vascular Plant,"Elliott Bluestem, Elliott's Bluestem",Não Avaliado
Erigeron divergens,Great Smoky Mountains National Park,94,Vascular Plant,"Spreading Daisy, Spreading Fleabane",Não Avaliado
Epilobium ciliatum ssp. ciliatum,Yellowstone National Park,239,Vascular Plant,Willow-Herb,Não Avaliado
Epilobium ciliatum ssp. ciliatum,Yellowstone National Park,239,Vascular Plant,"Coast Willowweed, Fringed Willowherb",Não Avaliado
Ivesia santolinoides,Bryce National Park,126,Vascular Plant,Sierra Mousetail,Não Avaliado
Sanguinaria canadensis,Great Smoky Mountains National Park,82,Vascular Plant,Bloodroot,Não Avaliado
Pohlia annotina,Yosemite National Park,156,Nonvascular Plant,Pohlia Moss,Não Avaliado
Selasphorus rufus,Great Smoky Mountains National Park,86,Bird,Rufous Hummingbird,Species of Concern
Geum aleppicum var. strictum,Yosemite National Park,131,Vascular Plant,Avens,Não Avaliado
Plethodon serratus,Yellowstone National Park,279,Amphibian,Southern Red-Backed Salamander,Não Avaliado
Gilia tricolor ssp. tricolor,Great Smoky Mountains National Park,72,Vascular Plant,Bird's-Eye Gilia,Não Avaliado
Kickxia elatine,Yosemite National Park,187,Vascular Plant,Sharpleaf Cancerwort,Não Avaliado
Erigeron formosissimus var. viscidus,Great Smoky Mountains National Park,84,Vascular Plant,Beautiful Fleabane,Não Avaliado
Narthecium californicum,Yosemite National Park,176,Vascular Plant,California Bog Asphodel,Não Avaliado
Erigeron annuus,Great Smoky Mountains National Park,70,Vascular Plant,"Daisy-Fleabane, White-Top Fleabane",Não Avaliado
Erigeron annuus,Great Smoky Mountains National Park,70,Vascular Plant,"Annual Fleabane, Eastern Daisy Fleabane",Não Avaliado
Viola septemloba,Great Smoky Mountains National Park,59,Vascular Plant,Violet,Não Avaliado
Symphyotrichum shortii,Yosemite National Park,174,Vascular Plant,Short's Aster,Não Avaliado
Streptanthus tortuosus var. tortuosus,Yosemite National Park,154,Vascular Plant,Shieldplant,Não Avaliado
Cynoglossum officinale,Great Smoky Mountains National Park,82,Vascular Plant,Gypsyflower,Não Avaliado
Cynoglossum officinale,Great Smoky Mountains National Park,82,Vascular Plant,"Common Houndstongue, Gypsyflower, Gypsy-Flower, Hound's Tongue, Houndstongue",Não Avaliado
Arnica parryi ssp. sonnei,Yosemite National Park,154,Vascular Plant,Sonne's Arnica,Não Avaliado
Aythya collaris,Great Smoky Mountains National Park,103,Bird,Ring-Necked Duck,Não Avaliado
Viburnum lantana,Bryce National Park,85,Vascular Plant,"Way-Faring Tree, Wayfaring-Tree",Não Avaliado
Myotis californicus,Yellowstone National Park,198,Mammal,"California Myotis, California Myotis, Californian Myotis",Species of Concern
Myotis californicus,Yellowstone National Park,198,Mammal,California Myotis,Species of Concern
Swertia perennis,Bryce National Park,121,Vascular Plant,"Alpinebog Swertia, Felwort, Star Gentian",Não Avaliado
Aralia nudicaulis,Bryce National Park,102,Vascular Plant,Wild Sarsaparilla,Não Avaliado
Erigeron strigosus,Great Smoky Mountains National Park,81,Vascular Plant,"Daisy Fleabane, Daisy-Fleabane",Não Avaliado
Erigeron strigosus,Great Smoky Mountains National Park,81,Vascular Plant,"Daisy Fleabane, Prairie Fleabane, Rough Fleabane",Não Avaliado
Solidago curtisii,Yosemite National Park,136,Vascular Plant,Mountain Decumbent Goldenrod,Não Avaliado
Hydromantes platycephalus,Great Smoky Mountains National Park,75,Amphibian,Mount Lyell Salamander,Species of Concern
Sparganium androcladum,Great Smoky Mountains National Park,86,Vascular Plant,"Branching Bur-Reed, Bur-Reed",Não Avaliado
Aristida purpurascens,Bryce National Park,65,Vascular Plant,Purple Triple-Awned Grass,Não Avaliado
Paspalum floridanum,Great Smoky Mountains National Park,114,Vascular Plant,Florida Paspalum,Não Avaliado
Luzula acuminata,Bryce National Park,106,Vascular Plant,Hairy Woodrush,Não Avaliado
Dirca palustris,Yellowstone National Park,236,Vascular Plant,Eastern Leatherwood,Não Avaliado
Achnatherum occidentale ssp. pubescens,Bryce National Park,58,Vascular Plant,"Elmer's Needlegrass, Pubescent Western Needlegrass",Não Avaliado
Pinus contorta var. latifolia,Yosemite National Park,117,Vascular Plant,"Lodgepole Pine, Rocky Mountain Lodgepole Pine, Tall Lodgepole Pine",Não Avaliado
Iris laevigata,Yellowstone National Park,243,Vascular Plant,Garden Iris,Não Avaliado
Allium textile,Great Smoky Mountains National Park,87,Vascular Plant,"Prairie Onion, Textile Onion, Wild Onion",Não Avaliado
Castilleja cusickii,Bryce National Park,135,Vascular Plant,"Cusick's Indian Paintbrush, Cusick's Paintbrush",Não Avaliado
Eragrostis pilosa var. pilosa,Yosemite National Park,176,Vascular Plant,Indian Lovegrass,Não Avaliado
Silene vulgaris,Yellowstone National Park,247,Vascular Plant,Bladder Campion,Não Avaliado
Silene vulgaris,Yellowstone National Park,247,Vascular Plant,"Bladder Campion, Bladder Silene, Cowbell, Maiden's Tears, Maidenstears, Maiden's-Tears, Rattleweed",Não Avaliado
Lycopodium complanatum,Yellowstone National Park,230,Vascular Plant,Running-Pine,Não Avaliado
Carex lurida,Yellowstone National Park,264,Vascular Plant,"Shallow Sedge, Smaller Hop Sedge",Não Avaliado
Nemophila pedunculata,Yosemite National Park,164,Vascular Plant,"Littlefoot Blue-Eyes, Littlefoot Nemophila",Não Avaliado
Herzogiella striatella,Great Smoky Mountains National Park,63,Nonvascular Plant,Herzogiella Moss,Não Avaliado
